Crime,408,6.273039215686275
Romance,408,6.206372549019608
Thriller,409,5.774083129584352
Adventure,328,6.137195121951221
\N,3,5.699999999999999
Drama,1408,6.416903409090907
War,39,6.866666666666667
Documentary,492,6.902235772357724
Reality-TV,3,6.533333333333334
Family,185,5.92
Fantasy,132,5.970454545454547
History,117,6.899145299145299
Mystery,190,6.030526315789474
Musical,43,6.409302325581396
Animation,162,6.257407407407408
Music,99,6.692929292929292
Horror,227,5.400881057268722
Short,44,6.486363636363635
Western,15,6.06
Biography,203,7.054679802955665
Comedy,1067,6.085285848172446
Action,544,6.030514705882351
Sport,87,6.617241379310344
Sci-Fi,110,5.863636363636362
News,7,7.142857142857143
